prompt_id,n,attribute,intended_subject,predicted_owner,human_label,count_broken,scored,correct
220,4,yellow helmet,cyclist,teacher,cyclist,False,True,False
220,4,blue gloves,nurse,nurse,teacher,False,True,False
220,4,book,teacher,cyclist,teacher,False,True,False
221,4,pan,chef,chef,chef,False,True,True
221,4,yellow helmet,cyclist,teacher,cyclist,False,True,False
221,4,blue gloves,nurse,cyclist,shared,False,False,False
221,4,book,teacher,nurse,teacher,False,True,False
223,4,pan,chef,chef,chef,False,True,True
223,4,yellow helmet,cyclist,pilot,cyclist,False,True,False
223,4,dark sunglasses,pilot,cyclist,shared,False,False,False
223,4,book,teacher,teacher,teacher,False,True,True
224,4,white hat,chef,chef,chef,False,True,True
224,4,shovel,farmer,farmer,farmer,False,True,True
224,4,blue gloves,nurse,nurse,shared,False,False,False
224,4,dark sunglasses,pilot,pilot,pilot,False,True,True
226,4,white hat,chef,chef,chef,False,True,True
226,4,shovel,farmer,farmer,farmer,False,True,True
226,4,blue gloves,nurse,nurse,nurse,False,True,True
226,4,book,teacher,teacher,teacher,False,True,True
227,4,pan,chef,chef,chef,False,True,True
227,4,shovel,farmer,farmer,farmer,False,True,True
227,4,blue gloves,nurse,nurse,shared,False,False,False
227,4,book,teacher,teacher,teacher,False,True,True
